Week,Bronx New UI Claims,Queens New UI Claims,Brooklyn New UI Claims,NYC New UI Claims
10/24/2020,"7,409","6,117","9,175","28,451"
10/17/2020,"8,980","6,598","10,100","31,917"
10/10/2020,"11,433","7,728","11,869","38,929"
10/3/2020,"11,697","7,639","11,899","39,101"
9/26/2020,"11,726","7,997","11,630","39,040"
9/19/2020,"12,492","8,475","12,504","41,463"
9/12/2020,"10,984","7,291","10,698","36,465"
9/5/2020,"11,193","7,590","10,713","36,944"
8/29/2020,"10,650","7,294","10,178","35,196"
8/21/2020,"9,859","7,381","9,944","34,045"
8/15/2020,"9,136","7,436","10,024","33,591"
8/8/2020,"7,427","6,117","9,080","28,447"
8/1/2020,"9,712","8,754","12,977","39,359"
7/25/2020,"11,622","10,432","14,864","46,185"
7/18/2020,"11,151","10,749","15,029","46,205"
7/11/2020,"10,726","11,371","14,773","46,256"
7/4/2020,"11,346","12,008","15,734","48,261"
6/27/2020,"9,582","11,250","14,043","43,868"
6/20/2020,"9,906","11,973","13,488","44,785"
6/13/2020,"11,091","13,983","14,689","50,013"
6/6/2020,"11,034","13,508","14,095","48,362"
5/30/2020,"10,662","11,814","12,572","43,703"
5/23/2020,"20,048","28,293","29,428","97,872"
